"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 200"
"errors: 7465"
"haskell demerits lower: 7465"
"seeds: "
"Haskell lower 4849135915536525900, -6642298124848567547"
"Haskell lower 4494136703295573080, 9187163446615798438"
"Haskell lower 7901376647130011744, -9015030022358803226"
"Haskell lower -6480497445989269203, 2292386589239550256"
"Equal 5129968592972716673, 7072037029418216423"
"Haskell lower 4409106530777270706, 5303808618820531262"
"Equal -4114307281824404617, -5317649779226835281"
"Haskell lower 5237627167169867710, -5714974314796937385"
"Equal -6470533783795129136, -1902614398233284254"
"Equal -7676056333948616912, 4247120401516094080"
"Haskell lower 1974449484947341635, -6080920213415440672"
"Haskell lower 6292801070774620133, -6482008107462790886"
"Haskell lower 4620113457774380317, 6879469456883091479"
"Haskell lower -3799436341947410747, -1374310674881309610"
"Haskell lower 5949232047973702685, 4417940691097624459"
"Haskell lower -8151820113159508436, -1631088183224514918"
"Haskell lower -7294240125795252700, -374642319738178948"
"Equal 3421793147736078061, 1525714489989257279"
"Haskell lower -4587529185252110837, -3305926272134896714"
"Haskell lower -301693885780780542, -1527895909757870357"
"Haskell lower 3139791054704840241, 7414269425170251636"
"Haskell lower -604090983313935848, -4911658142650533765"
"Haskell lower 5193855724624991027, -6846798269935194069"
"Haskell lower 5300443652025805560, 8368912992367024186"
"Equal -1051917009161851047, -6824793124235466816"
"Equal 1246753682554157183, -1624236845095302108"
"Haskell lower -675328722088796745, -4315843652477240514"
"Equal 9063513966075036250, -8890828021677121424"
"Haskell lower 5858592616476691024, 8146244295364156088"
"Haskell lower -2348597860826051566, -5842246644174077817"
"Haskell lower 578026729659811895, 6526144467264190952"
"Haskell lower -1900934068282169316, 4428809508646459352"
"Haskell lower -6883747347824761828, 2693699535315206651"
"Haskell lower -5327044689290877685, 3818506232656792774"
"Haskell lower 1164348150901588682, 2400144772294005290"
"Haskell lower -8458340342791131889, -1165191774666658863"
"Haskell lower -7933298551062399788, 3979481675175545346"
"Haskell lower 1186630091252015465, -1569765048609016727"
"Haskell lower 2449021995334567712, -8782783083773808910"
"Haskell lower 5054233736486645604, -84247077550736819"
"Haskell lower -2811066777571235168, 2185705267065076767"
"Haskell lower -3846012698957159241, 1343328527982814134"
"Haskell lower -4856878809046833939, 1329573439491351381"
"Haskell lower 6301330619497304054, -6213646703773797220"
"Haskell lower 7681644069363595169, -6027693623790032120"
"Equal 2623474469364682259, 3839529789104602959"
"Haskell lower -8324942392889887427, 2890110727103435017"
"Haskell lower -9167755083938187592, -3758414946332885758"
"Haskell lower 4202831940098254976, -3775895106093557699"
"Haskell lower 8184576216296175442, -203052737369778258"
"Equal -8096181840830964097, 2022115720484990432"
"Haskell lower -5811037295002475504, 2052091477907067666"
"Haskell lower -2359358808675799459, -9071267372776280711"
"Haskell lower 3930637907917401823, 7248440204467276656"
"Haskell lower 4361981938503175285, -6286035359150030364"
"Haskell lower -8324846782270550584, -2378313927763492348"
"Haskell lower -7763691434071728417, 3540575362972928583"
"Haskell lower -5091291996604863965, 7050245052632050902"
"Equal 2899804789176486989, -3377501573387147974"
"Haskell lower 1038496347759450434, -9157254555994051324"
"Haskell lower -2097697244321553862, -456506987518686338"
"Haskell lower 4730888942470068374, 9194623699211174656"
"Haskell lower 8650366265688983872, 5387843546496097845"
"Equal 4542134048548116628, -4478670223719630566"
"Haskell lower -1382512271908030210, -592968416401246842"
"Equal -4719767726149841230, 4277163421804880462"
"Haskell lower 6848009132524672183, -6211612121911265996"
"Haskell lower 408839743144257670, 6724994378771002554"
"Equal -9099894811648537318, -2743230062550029174"
"Haskell lower 1164572976798292237, 7852891428217711175"
"Equal 2113100397428497716, 1055528855887641770"
"Haskell lower -8740470183366975253, 30878797204765085"
"Haskell lower 3793634599671366613, -1176721618761565537"
"Equal -8997146511664016085, 9215984749287495674"
"Haskell lower -4965088317352082070, 1773687999908400183"
"Haskell lower 5536071629664886761, 2162272508089658755"
"Haskell lower 4150098505362371331, 5111551219600202180"
"Haskell lower 2858823948960458187, -1231175685108549423"
"Haskell lower -4043821333702642368, -8120324784140690899"
"Haskell lower 6665043968205447329, 1075208102425905794"
"Haskell lower 8441974223549243522, 1652040346252717052"
"Haskell lower 2597813023305152294, -4630191371763304782"
"Equal -2326884299757031746, -21093161742387788"
"Haskell lower -9131629061879592735, -797118251721074501"
"Haskell lower -8425430338089522925, 1880239562756189726"
"Haskell lower 4435072157824938190, 244030286429170816"
"Haskell lower 2853179185721919359, 3241548570400856755"
"Equal -5466604008679405623, 1970187006892652328"
"Haskell lower -3625617013362422081, 474277276169969924"
"Haskell lower 2278562910902942903, -2190440641793665961"
"Haskell lower 6116308839475932412, -3542518451893257356"
"Equal -846179062465932275, 391449864858261756"
"Equal -3858101404387517551, -1446573615925482017"
"Haskell lower -833983108477089815, 4924550556943693935"
"Haskell lower 3368234799132430526, -7397097664348531333"
"Haskell lower -5543188801764717680, -5193031168475873640"
"Haskell lower 1767378382955798533, 4406205962696043045"
"Haskell lower -2178570744100055583, 5501207307662535243"
"Equal 3715737598988880029, 1708730031892936292"
"Haskell lower -3538814435765678124, 1589764694817929913"
"Haskell lower 2096238676658188327, -5933109533164284468"
"Haskell lower -2692120346516757194, -3785992554488332474"
"Haskell lower -5459518574927626911, -927591146237694848"
"Equal -4321580847329005800, 5099992021728140566"
"Equal -5191672449223528495, 714409857318592736"
"Haskell lower -2834209685377176259, 5452680182823380458"
"Haskell lower 6002071715676329442, 3086741922640574364"
"Haskell lower 1950033980330362749, -7862448925735666813"
"Haskell lower -4319764489433430059, 5237593827004262912"
"Haskell lower -3186781521270069650, -2569317945905874208"
"Haskell lower -6556094842374557957, 5524620945917083282"
"Haskell lower 8159267757537794324, -1479837682798937149"
"Haskell lower -4926237565691294761, -2048673959147943092"
"Haskell lower 823796031448499263, -4581291776178016747"
"Haskell lower -840485868013105594, -1524238928611587249"
"Haskell lower 2037036694096145745, -3902553265359202994"
"Haskell lower -5861611376989947798, -5557802256129538007"
"Equal 6726122443359873693, 3079780480065500844"
"Haskell lower 135548319549895761, -5863038224010368744"
"Equal -8820241567311656945, 1317830143085268498"
"Haskell lower 8377929078817508029, -5694676792538209819"
"Haskell lower -5006344922274802681, 7470370786300206253"
"Equal -5703371446036300598, -5402947894766883183"
"Haskell lower 4722563215222730032, 8680230623512037104"
"Haskell lower -7657511037988666219, 6581919675978946362"
"Haskell lower 1816723234756415247, 5037628667458694380"
"Equal 8746511149107529576, -3661215178807818557"
"Haskell lower 2326521168352844555, -3127268123806968589"
"Haskell lower -8818315041922186629, 1995759482332904253"
"Haskell lower 8526132052926988644, -1893411462139306327"
"Equal -2724138929800404860, 5719012083740948018"
"Equal 3599774297172429054, 4928657970176102663"
"Haskell lower 3951839529603027436, 8639120815895445085"
"Equal -2446036163484433372, -3763171735048297777"
